Campaign Name,Facebook Page ID,Instagram Page ID,AdSet Start Time,AdSet End Time,Facebook Post ID,Instagram Post ID,Impressions,% Δ,CPM,% Δ,CPC,% Δ,Total Cost,% Δ,AdSet Start Time,% Δ
"Post: ""Chers amis,""",100391969617030,5471471896296374,16 janv. 2023,22 janv. 2023,100391969617030_104595592529302,18343326358002943,7669,0,1.39261963750163,0,0.031228070175438594,0,10.68,0,1,0
[16/01/2023] Promotion de Janati's,100391969617030,null,16 janv. 2023,21 janv. 2023,100391969617030_110385991950262,null,3131,,1.338230597253274,,0.02685897435897436,,4.19,,1,
"Post: ""Quel est votre préférence entre le  #PetitPain ou...""",100391969617030,5471471896296374,18 janv. 2023,28 janv. 2023,100391969617030_110912581897603,18164523640282999,6400,0,0.44687499999999997,0,0.4766666666666666,0,2.86,0,1,0
"Publication : « ❤️ Bonjour à tous ! Chez Janati's, nous sommes... »",100391969617030,5471471896296374,27 janv. 2023,6 févr. 2023,100391969617030_117458147909713,18324370573069946,10625,0,0.9411764705882353,0,0.6666666666666666,0,10,0,1,0
"Post: ""Maximiser votre impact en ligne : Conseils pour...""",107339595607120,6481530395208371,6 févr. 2023,20 févr. 2023,107339595607120_107548515588189,18035625262430121,82689,0,0.13363325230683648,0,0.009132231404958679,0,11.05,0,1,0
[06/02/2023] Promotion de AO Digital,107339595607120,null,6 févr. 2023,20 févr. 2023,107339595607120_107633645579676,null,10879,,0.9385053773324755,,0.017305084745762714,,10.21,,1,
[27/02/2023] Promotion de https://www.instagram.com/ma.janatis/,100391969617030,5471471896296374,27 févr. 2023,2 mars 2023,100391969617030_137116469277214,17985465532769689,29864,0,0.09643718189124029,0,0.0034002361275088547,0,2.88,0,1,0
Event: Marché du Ramadan,100391969617030,null,9 mars 2023,11 mars 2023,100391969617030_145055698483291,null,1772,,1.1286681715575622,,0.015267175572519083,,2,,1,
Publication : « Harcha Orge ! JANATI’S 🥖🇲🇦 »,100391969617030,5471471896296374,11 mars 2023,13 mars 2023,100391969617030_145248721797322,17969476985192539,1630,0,1.2269938650306749,0,0.017699115044247787,0,2,0,1,0
Publication : « 🍯🧡  Plongez dans la délicieuse gourmandise des... »,100391969617030,5471471896296374,13 mars 2023,15 mars 2023,100391969617030_135633972758797,17946858605541948,927,0,2.157497303128371,0,0.10526315789473684,0,2,0,1,0
[16/03/2023] Promotion de Envoyer un message WhatsApp,100391969617030,5471471896296374,16 mars 2023,18 mars 2023,100391969617030_150301627958698,18014048587551121,1595,0,1.1536050156739812,0,0.03538461538461539,0,1.84,0,1,0
