Post ID,Message,Created Time,Attachments,Likes Count,Reactions,Shares Count,Comments Count,Views Count,Number of Fans
106674575654562_236827382647021,"🕶️🌞 اكتشف مجموعتنا الجديدة من توم فورد  في كلير فيجن! نحن نقدم لك مجموعة واسعة من النظارات الشمسية عالية الجودة بأسعار لا تقبل المنافسة. ابحث عن علامتك التجارية المفضلة بين مجموعتنا واحصل على نصائح شخصية لمساعدتك في العثور على النظارات الشمسية المثالية لأسلوبك واحتياجاتك.

توفر عدساتنا المقواة حمايةً فائقة وتضيف لمسة جمالية إلى مظهرك. تحتوي مجموعتنا على العديد من التصاميم الفريدة والأنيقة التي تناسب أي أسلوب وتفضيلات. احجز موعدًا اليوم في كلير فيجن للعثور على النظارات الشمسية المثالية لك!

#TomFord #lunettesdesoleil #italiandesign #glamourhollywoodien #bestsellers #boutiqueenligne #eyewear #tendances #fashion

🕶️🌞 كلير فيجن! اكتشف مجموعتنا الجديدة  توم فورد، وإسكادا، وسواروفسكي، وغيرها الكثير. نحن نقدم لك نظارات شمسية ونظارات بصرية من الدرجة الأولى ، بأسعار تنافسية. تفضل بزيارتنا اليوم في طنجة لمعرفة المزيد وتجربة النظارات الجديدة الخاصة بنا. نحن في انتظارك!

#CLAIREVISION
📍 6 شارع ولي العهد. طنجة
☎️ 05 39 94 77 70",2023-07-25T15:45:08+0000,"[{'description': '🕶️🌞 اكتشف مجموعتنا الجديدة من توم فورد  في كلير فيجن! نحن نقدم لك مجموعة واسعة من النظارات الشمسية عالية الجودة بأسعار لا تقبل المنافسة. ابحث عن علامتك التجارية المفضلة بين مجموعتنا واحصل على نصائح شخصية لمساعدتك في العثور على النظارات الشمسية المثالية لأسلوبك واحتياجاتك.\n\nتوفر عدساتنا المقواة حمايةً فائقة وتضيف لمسة جمالية إلى مظهرك. تحتوي مجموعتنا على العديد من التصاميم الفريدة والأنيقة التي تناسب أي أسلوب وتفضيلات. احجز موعدًا اليوم في كلير فيجن للعثور على النظارات الشمسية المثالية لك!\n\n#TomFord #lunettesdesoleil #italiandesign #glamourhollywoodien #bestsellers #boutiqueenligne #eyewear #tendances #fashion\n\n🕶️🌞 كلير فيجن! اكتشف مجموعتنا الجديدة  توم فورد، وإسكادا، وسواروفسكي، وغيرها الكثير. نحن نقدم لك نظارات شمسية ونظارات بصرية من الدرجة الأولى ، بأسعار تنافسية. تفضل بزيارتنا اليوم في طنجة لمعرفة المزيد وتجربة النظارات الجديدة الخاصة بنا. نحن في انتظارك!\n\n#CLAIREVISION\n📍 6 شارع ولي العهد. طنجة\n☎️ 05 39 94 77 70', 'media': {'image': {'height': 720, 'src': 'https://z-p3-scontent.fcmn1-4.fna.fbcdn.net/v/t39.30808-6/363414624_236827172647042_8563384987970423927_n.jpg?stp=dst-jpg_p720x720&_nc_cat=106&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeGqJK-VI75n8wDH_XnmKidNWivzmRMTGsxaK_OZExMazLISv5u4Zh6Foyokg6fnUvlyKHh12WJeDWjFRg0qaot8&_nc_ohc=BAqTH-Q7CQoAX8F-Jhp&_nc_zt=23&_nc_ht=z-p3-scontent.fcmn1-4.fna&edm=AKK4YLsEAAAA&oh=00_AfBkP219Qlt8TuvfJnDkOquORxuCoikzaJmBzavlz-iVEg&oe=64C9A629', 'width': 720}}, 'target': {'id': '236827179313708', 'url': 'https://www.facebook.com/photo.php?fbid=236827179313708&set=a.117569654572795&type=3'}, 'type': 'photo', 'url': 'https://www.facebook.com/photo.php?fbid=236827179313708&set=a.117569654572795&type=3'}]",0,[],0,0,0,193
106674575654562_233500352979724,"☀️🕶️ *MEGA PROMO* sur les lunettes de soleil Dsquared2 chez Claire Vision Optique !

Pour célébrer l'été, nous avons une offre exceptionnelle sur notre collection de lunettes de soleil Dsquared2. Profitez des réductions exceptionnelles sur une sélection de modèles tendance et de qualité supérieure.

Nos lunettes de soleil Dsquared2 sont conçues pour offrir une protection optimale tout en étant élégantes et intemporelles. Avec des designs sophistiqués et des finitions soignées, chaque paire est un véritable bijou.

Venez nous rendre visite chez Claire Vision Optique à Tanger pour découvrir notre sélection de lunettes de soleil Dsquared2 en promotion et trouver la paire parfaite pour vous ! ☀️🕶️

#CLAIREVISION #Tanger #Maroc #lunettesdesoleil #eyewear #Dsquared2 #protectionsolaire #tendances #fashion #été2021 #megapromo

🕶️🌞 #CLAIREVISION
📍 6 Av. Prince Héritier. Tanger
☎️ 05 39 94 77 70",2023-07-21T12:18:37+0000,"[{'description': ""☀️🕶️ *MEGA PROMO* sur les lunettes de soleil Dsquared2 chez Claire Vision Optique !\n\nPour célébrer l'été, nous avons une offre exceptionnelle sur notre collection de lunettes de soleil Dsquared2. Profitez des réductions exceptionnelles sur une sélection de modèles tendance et de qualité supérieure.\n\nNos lunettes de soleil Dsquared2 sont conçues pour offrir une protection optimale tout en étant élégantes et intemporelles. Avec des designs sophistiqués et des finitions soignées, chaque paire est un véritable bijou.\n\nVenez nous rendre visite chez Claire Vision Optique à Tanger pour découvrir notre sélection de lunettes de soleil Dsquared2 en promotion et trouver la paire parfaite pour vous ! ☀️🕶️\n\n#CLAIREVISION #Tanger #Maroc #lunettesdesoleil #eyewear #Dsquared2 #protectionsolaire #tendances #fashion #été2021 #megapromo\n\n🕶️🌞 #CLAIREVISION\n📍 6 Av. Prince Héritier. Tanger\n☎️ 05 39 94 77 70"", 'media': {'image': {'height': 720, 'src': 'https://z-p3-scontent.fcmn1-4.fna.fbcdn.net/v/t39.30808-6/362239470_233500112979748_6004129502282854625_n.jpg?stp=dst-jpg_p720x720&_nc_cat=106&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeHKNz6sCwJV4ZmEf6fwonZuVGvq_t6nfpZUa-r-3qd-ltjyXF_-7Dnq4Iu2LdTPN19USTSz5k1qk6LMlu1d6tWJ&_nc_ohc=VoR4Lxg1RXkAX_onGsf&_nc_zt=23&_nc_ht=z-p3-scontent.fcmn1-4.fna&edm=AKK4YLsEAAAA&oh=00_AfCXBDX3CIPI1fy0NVmtzrHOIDSi_6E360sdOX7JlHmVTg&oe=64C8E4EA', 'width': 720}}, 'target': {'id': '233500116313081', 'url': 'https://www.facebook.com/photo.php?fbid=233500116313081&set=a.117569654572795&type=3'}, 'type': 'photo', 'url': 'https://www.facebook.com/photo.php?fbid=233500116313081&set=a.117569654572795&type=3'}]",15,[],0,0,0,193
106674575654562_231526213177138,"🕶️🎉 *Super Promo sur les Lunettes de Soleil chez Claire Vision !* 🎉🕶️

Venez découvrir notre sélection de lunettes de soleil de qualité supérieure à des prix imbattables. Nous proposons une large sélection de marques mondiales, ainsi que des conseils personnalisés pour vous aider à trouver la paire de lunettes de soleil parfaite pour votre style et vos besoins.

Profitez de nos offres spéciales et promotions pour vous procurer la paire de lunettes de soleil de vos rêves. Nos verres polarisés vous offrent une vision nette et un meilleur contraste, tout en évitant les reflets et l'éblouissement causés par le soleil. 🌅🕶️

Venez nous rendre visite chez Claire Vision Optique à Tanger ou contactez-nous pour plus d'informations. Nous sommes impatients de vous aider à trouver la paire de lunettes de soleil parfaite pour vous ! ☀️🕶️

#CLAIREVISION
📍 6 Av. Prince Héritier. Tanger
☎️ 05 39 94 77 70

#lunettesdesoleil #eyewear #offresspeciales #promotions #verrespolarisés #protectionsolaire #tendances #fashion",2023-07-18T12:49:23+0000,"[{'description': ""🕶️🎉 *Super Promo sur les Lunettes de Soleil chez Claire Vision !* 🎉🕶️\n\nVenez découvrir notre sélection de lunettes de soleil de qualité supérieure à des prix imbattables. Nous proposons une large sélection de marques mondiales, ainsi que des conseils personnalisés pour vous aider à trouver la paire de lunettes de soleil parfaite pour votre style et vos besoins.\n\nProfitez de nos offres spéciales et promotions pour vous procurer la paire de lunettes de soleil de vos rêves. Nos verres polarisés vous offrent une vision nette et un meilleur contraste, tout en évitant les reflets et l'éblouissement causés par le soleil. 🌅🕶️\n\nVenez nous rendre visite chez Claire Vision Optique à Tanger ou contactez-nous pour plus d'informations. Nous sommes impatients de vous aider à trouver la paire de lunettes de soleil parfaite pour vous ! ☀️🕶️\n\n#CLAIREVISION\n📍 6 Av. Prince Héritier. Tanger\n☎️ 05 39 94 77 70\n\n#lunettesdesoleil #eyewear #offresspeciales #promotions #verrespolarisés #protectionsolaire #tendances #fashion"", 'media': {'image': {'height': 720, 'src': 'https://z-p3-scontent.fcmn1-2.fna.fbcdn.net/v/t39.30808-6/361663383_231524959843930_3133547947043192051_n.jpg?stp=dst-jpg_p720x720&_nc_cat=103&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeEThZkEUGjaQD4LB1iajYTAX65GSkP3PcNfrkZKQ_c9w47tSan6uMqUcMEzt7wS6ow4XtQDi4vs2oyWVi5l9icu&_nc_ohc=hLwcFGUEuLwAX_rsWew&_nc_zt=23&_nc_ht=z-p3-scontent.fcmn1-2.fna&edm=AKK4YLsEAAAA&oh=00_AfAHy7mSwOyyaI_mnVFXylYXp7HfsN33ML0oZDkOEOuAMQ&oe=64C8C859', 'width': 720}}, 'target': {'id': '231524973177262', 'url': 'https://www.facebook.com/photo.php?fbid=231524973177262&set=a.117569654572795&type=3'}, 'type': 'photo', 'url': 'https://www.facebook.com/photo.php?fbid=231524973177262&set=a.117569654572795&type=3'}]",0,[],0,0,0,193
106674575654562_228985633431196,"Découvrez les dernières offres de Claire Vision sur les lunettes de soleil ! ☀️🕶️

Venez découvrir notre sélection de lunettes de soleil de qualité supérieure, avec des prix imbattables. Trouvez votre marque préférée parmi notre large sélection. Nos verres polarisés vous offrent une vision nette et un meilleur contraste, tout en évitant les reflets et l'éblouissement causés par le soleil.

Profitez de nos offres spéciales et promotions pour vous procurer la paire de lunettes de soleil parfaite pour votre style et vos besoins. Nous proposons également des lunettes de vue et des lunettes de natation correctrices pour répondre à tous vos besoins en matière de vision.

Venez nous rendre visite chez Claire Vision Optique à Tanger ou contactez-nous pour plus d'informations. Nous sommes impatients de vous aider à trouver la paire de lunettes de soleil parfaite pour vous ! ☀️🕶️

#CLAIREVISION
📍 6 Av. Prince Héritier. Tanger
☎️ 05 39 94 77 70

#CLAIREVISION #Tanger #Maroc #lunettesdesoleil #eyewear #verrespolarisés #protectionsolaire #conseil #fashion #tendances",2023-07-14T14:07:09+0000,"[{'description': ""Découvrez les dernières offres de Claire Vision sur les lunettes de soleil ! ☀️🕶️\n\nVenez découvrir notre sélection de lunettes de soleil de qualité supérieure, avec des prix imbattables. Trouvez votre marque préférée parmi notre large sélection. Nos verres polarisés vous offrent une vision nette et un meilleur contraste, tout en évitant les reflets et l'éblouissement causés par le soleil.\n\nProfitez de nos offres spéciales et promotions pour vous procurer la paire de lunettes de soleil parfaite pour votre style et vos besoins. Nous proposons également des lunettes de vue et des lunettes de natation correctrices pour répondre à tous vos besoins en matière de vision.\n\nVenez nous rendre visite chez Claire Vision Optique à Tanger ou contactez-nous pour plus d'informations. Nous sommes impatients de vous aider à trouver la paire de lunettes de soleil parfaite pour vous ! ☀️🕶️\n\n#CLAIREVISION\n📍 6 Av. Prince Héritier. Tanger\n☎️ 05 39 94 77 70\n\n#CLAIREVISION #Tanger #Maroc #lunettesdesoleil #eyewear #verrespolarisés #protectionsolaire #conseil #fashion #tendances"", 'media': {'image': {'height': 720, 'src': 'https://z-p3-scontent.fcmn1-1.fna.fbcdn.net/v/t39.30808-6/360151094_228985370097889_6903508844852970557_n.jpg?stp=dst-jpg_p720x720&_nc_cat=107&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeHkEd6xMDTCwDnLQY6BOA57GxY-QYK5tY4bFj5Bgrm1jsvP5fm78tC01ol43CEL75ao6vQjIkZWE-dWliDWvK0-&_nc_ohc=eREMeqDeZF0AX9ZzkTm&_nc_zt=23&_nc_ht=z-p3-scontent.fcmn1-1.fna&edm=AKK4YLsEAAAA&oh=00_AfB6_6c6Wp-q00x27oz7BOvtJQWZ3CXH__MHVmgbhbOMaw&oe=64C8BA01', 'width': 720}}, 'target': {'id': '228985373431222', 'url': 'https://www.facebook.com/photo.php?fbid=228985373431222&set=a.117569654572795&type=3'}, 'type': 'photo', 'url': 'https://www.facebook.com/photo.php?fbid=228985373431222&set=a.117569654572795&type=3'}]",0,[],0,0,0,193
106674575654562_227156203614139,"Vous cherchez des lunettes de natation pour vous aider à voir clairement sous l'eau? Les Lunettes de Natation avec Correction Optique Claire Vision sont la solution parfaite pour vous!

Ces lunettes de natation sont conçues avec des verres de correction optique pour vous offrir une vision claire et nette pendant que vous nagez. Elles sont disponibles dans une variété de forces de correction pour s'adapter à vos besoins individuels.

 Les Lunettes de Natation avec Correction Optique Claire Vision sont également dotées d'un design confortable et ajustable pour un ajustement parfait. Elles sont fabriquées avec des matériaux de haute qualité pour une durabilité maximale.

Ne laissez pas votre vision floue vous empêcher de profiter de la natation. Essayez les Lunettes de Natation avec Correction Optique Claire Vision dès aujourd'hui et découvrez la différence!

Nagez avec confiance et style grâce à nos lunettes de natation de qualité supérieure. Venez nous rendre visite chez Claire Vision pour découvrir notre sélection et trouver la paire parfaite pour vous !

🏊‍♀️🏊‍♂️ #CLAIREVISION
📍 6 Av. Prince Héritier. Tanger
☎️ 05 39 94 77 70

#lunettesdenatation #natation #eyewear #protectionsolaire #swimming #tendances #fashion",2023-07-11T14:44:37+0000,"[{'description': 'Opticien', 'media': {'image': {'height': 720, 'src': 'https://z-p3-scontent.fcmn1-3.fna.fbcdn.net/v/t45.1600-4/356554614_23857248742920410_9092798118756443935_n.jpg?stp=dst-jpg_p720x720_spS444&_nc_cat=101&ccb=1-7&_nc_sid=67cdda&_nc_eui2=AeGauLSk-NKBZH_ecxXpuaRsh3hzOu2XNlWHeHM67Zc2Ve6QYHAhTuQTUp9Z9VzUJLfKeVVHY9pYfkIwKZJlbV1o&_nc_ohc=Q3A67IOqBncAX_e0Eou&_nc_ht=z-p3-scontent.fcmn1-3.fna&edm=AKK4YLsEAAAA&oh=00_AfBYJNPI-X1gJUL-kum4Sz5t374MRiVUDSWyyqy93xZ5cA&oe=64C7D281', 'width': 720}}, 'title': 'Claire vision', 'type': 'share', 'url': 'tel:+212539947770'}]",30,[],0,0,0,193
106674575654562_222261187436974,"🕶️💎 Découvrez les magnifiques lunettes Swarovski chez CLAIRE VISION Optique ! Les lunettes de soleil Swarovski sont conçues pour offrir une protection optimale tout en étant élégantes et intemporelles. Avec des designs sophistiqués et des cristaux Swarovski étincelants, chaque paire est une véritable œuvre d'art.

Venez nous rendre visite chez CLAIRE VISION Optique pour découvrir notre collection de lunettes Swarovski et trouver la paire parfaite pour vous ! Nous avons une large sélection de modèles pour répondre à tous les styles et à toutes les préférences.

#CLAIREVISION #Tanger #Maroc #lunettesdesoleil #eyewear #Swarovski #protectionsolaire #fashion #tendances

🕶️🌞 #CLAIREVISION
📍 6 Av. Prince Héritier. Tanger
☎️ 05 39 94 77 70",2023-07-04T11:50:18+0000,"[{'description': ""🕶️💎 Découvrez les magnifiques lunettes Swarovski chez CLAIRE VISION Optique ! Les lunettes de soleil Swarovski sont conçues pour offrir une protection optimale tout en étant élégantes et intemporelles. Avec des designs sophistiqués et des cristaux Swarovski étincelants, chaque paire est une véritable œuvre d'art.\n\nVenez nous rendre visite chez CLAIRE VISION Optique pour découvrir notre collection de lunettes Swarovski et trouver la paire parfaite pour vous ! Nous avons une large sélection de modèles pour répondre à tous les styles et à toutes les préférences.\n\n#CLAIREVISION #Tanger #Maroc #lunettesdesoleil #eyewear #Swarovski #protectionsolaire #fashion #tendances\n\n🕶️🌞 #CLAIREVISION\n📍 6 Av. Prince Héritier. Tanger\n☎️ 05 39 94 77 70"", 'media': {'image': {'height': 720, 'src': 'https://z-p3-scontent.fcmn1-2.fna.fbcdn.net/v/t39.30808-6/358047900_222260887437004_4434698819882084319_n.jpg?stp=dst-jpg_p720x720&_nc_cat=103&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeGXq_Y1Squ5mPKQaQBw_5XIQSal8LUPzOJBJqXwtQ_M4vKbk0vgXQe75nEj-jhCZ8zijh7afJpXXF6_M4fWF_Cl&_nc_ohc=44RjEjLqMmUAX99x3A-&_nc_zt=23&_nc_ht=z-p3-scontent.fcmn1-2.fna&edm=AKK4YLsEAAAA&oh=00_AfCiuWlrdFBwxPwA-GNf5Al8ywBekdPjbCOObkAY_7DH1w&oe=64C8C633', 'width': 720}}, 'target': {'id': '222260894103670', 'url': 'https://www.facebook.com/photo.php?fbid=222260894103670&set=a.117569654572795&type=3'}, 'type': 'photo', 'url': 'https://www.facebook.com/photo.php?fbid=222260894103670&set=a.117569654572795&type=3'}]",3,[],0,0,0,193
106674575654562_219387087724384,"👀 *Santé des yeux et alimentation*

Saviez-vous que certains aliments peuvent aider à maintenir la santé de vos yeux ? Les vitamines A, C et E sont particulièrement importantes pour la santé de vos yeux.

🥕 La vitamine A se trouve dans les carottes, les patates douces et les épinards, et elle peut contribuer à prévenir la dégénérescence maculaire.

🍊 La vitamine C est présente dans les agrumes, les fraises et les kiwis, et elle peut aider à protéger vos yeux contre les dommages causés par les radicaux libres.

🌰 La vitamine E se trouve dans les noix, les graines et les légumes verts à feuilles, et elle peut aider à prévenir la cataracte.

N'oubliez pas de manger une variété d'aliments sains pour les yeux pour maintenir une bonne santé oculaire ! 👌

#santédesyeux #alimentation #vitamines #vitamineA #vitamineC #vitamineE",2023-06-30T13:30:59+0000,"[{'media': {'image': {'height': 656, 'src': 'https://z-p3-scontent.fcmn1-3.fna.fbcdn.net/v/t15.5256-10/355977658_941310266952675_2905283809032321631_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeGLkbnWT9A9tT71N0F1H37dcoBvKh8EzMFygG8qHwTMwQTZgd9hZJVuTPJkT2QhZQ829-lQz5ugAjQTm36OikTZ&_nc_ohc=IoemkxAF5isAX8dyeUG&_nc_oc=AQkXu4OO4heO0QHXl8yZhwTIN82OGqb_locflFUioCzXQvDaBufkC7Ky_l7wB5UnmOM&_nc_ht=z-p3-scontent.fcmn1-3.fna&edm=AKK4YLsEAAAA&oh=00_AfDRCVpxTsGw1Abdp_g2kKD1FWy87NVirfaiKihWS1g9OA&oe=64C83C05', 'width': 368}, 'source': 'https://z-p3-video.fcmn1-3.fna.fbcdn.net/v/t39.25447-2/357078418_821039502982628_7197986725132402901_n.mp4?_nc_cat=101&vs=302d7a78ea361d9c&_nc_vs=HBksFQAYJEdKS1ZTQlhrLWVzbnVfb0NBTldBZmpuS1l1UmpibWRqQUFBRhUAAsgBABUAGCRHTFJyU1JVaVNxaVZua2NDQURLcnR2eTlXVWxCYnJGcUFBQUYVAgLIAQBLB4gScHJvZ3Jlc3NpdmVfcmVjaXBlATENc3Vic2FtcGxlX2ZwcwAQdm1hZl9lbmFibGVfbnN1YgAgbWVhc3VyZV9vcmlnaW5hbF9yZXNvbHV0aW9uX3NzaW0AKGNvbXB1dGVfc3NpbV9vbmx5X2F0X29yaWdpbmFsX3Jlc29sdXRpb24AHXVzZV9sYW5jem9zX2Zvcl92cW1fdXBzY2FsaW5nABFkaXNhYmxlX3Bvc3RfcHZxcwAVACUAHIwXQAAAAAAAAAAREQAAACb2mOaP4r%2BUBhUCKAJDMxgLdnRzX3ByZXZpZXccF0A7VT987ZFoGClkYXNoX2k0bGl0ZWJhc2ljXzVzZWNnb3BfaHExX2ZyYWdfMl92aWRlbxIAGBh2aWRlb3MudnRzLmNhbGxiYWNrLnByb2Q4ElZJREVPX1ZJRVdfUkVRVUVTVBsKiBVvZW1fdGFyZ2V0X2VuY29kZV90YWcGb2VwX2hkE29lbV9yZXF1ZXN0X3RpbWVfbXMBMAxvZW1fY2ZnX3J1bGUHdW5tdXRlZBNvZW1fcm9pX3JlYWNoX2NvdW50AzIwMBFvZW1faXNfZXhwZXJpbWVudAAMb2VtX3ZpZGVvX2lkDzc2NzMwOTk5NTE3NjU1NhJvZW1fdmlkZW9fYXNzZXRfaWQPOTQxMzA5ODkwMjg2MDQ2FW9lbV92aWRlb19yZXNvdXJjZV9pZBAxNzMzOTI1ODI3MDM2NzMxHG9lbV9zb3VyY2VfdmlkZW9fZW5jb2RpbmdfaWQPMTUxMTUyMDcxMzEzODA1DnZ0c19yZXF1ZXN0X2lkACUCHAAlxAEbB4gBcwQ1MTY5AmNkCjIwMjMtMDYtMzADcmNiAzIwMANhcHAGVmlkw6lvAmN0GUNPTlRBSU5FRF9QT1NUX0FUVEFDSE1FTlQTb3JpZ2luYWxfZHVyYXRpb25fcwYyNy4zMzYCdHMVcHJvZ3Jlc3NpdmVfZW5jb2RpbmdzAA%3D%3D&ccb=1-7&_nc_sid=a06cc9&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_eui2=AeFOvyI3wMifnJSVbE9TyWEbGg16TNiLdhAaDXpM2It2EEeLOFWhslrEgYvScPbjjSdtUAWNAxJY-R55HiFWfEBH&_nc_ohc=WagncJyTyWIAX-FsZuZ&_nc_ht=z-p3-video.fcmn1-3.fna&edm=AKK4YLsEAAAA&oh=00_AfAUU9230h0ptJbTndFCWjlXrqVIrX85WA1WZyssBxEQ8A&oe=64C7CE82&_nc_rid=354830949153844'}, 'target': {'id': '767309995176556', 'url': 'https://www.facebook.com/223018424027917/videos/767309995176556'}, 'type': 'video_inline', 'url': 'https://www.facebook.com/223018424027917/videos/767309995176556'}]",1,[],0,0,0,193
106674575654562_217384981257928,"👀 Saviez-vous que chez Claire Vision, votre opticienne-optométriste est une professionnelle universitaire hautement qualifiée, diplômée de l'université de Grenade ?

Ce qui nous permet de vous offrir les meilleurs soins possibles pour votre santé visuelle.

👩‍🎓💪 Nous sommes convaincus que cette expertise fait la différence pour vous offrir les meilleurs soins possibles !

#optique #santévisuelle #professionnels #universitaires #qualité #clairevision

🕶️🌞 #CLAIREVISION
📍 6 Av. Prince Héritier. Tanger
☎️ 05 39 94 77 70",2023-06-27T13:07:03+0000,"[{'description': 'Opticien', 'media': {'image': {'height': 500, 'src': 'https://z-p3-scontent.fcmn1-1.fna.fbcdn.net/v/t45.1600-4/353287352_23856173857020410_4360362461300212130_n.jpg?stp=dst-jpg_spS444&_nc_cat=102&ccb=1-7&_nc_sid=67cdda&_nc_eui2=AeGa3zNwky8XFkhpE6mwunXM9wxNrXAUNcD3DE2tcBQ1wElpIwdUMpoSAyfNvGtlDAlI1TRou06GeX--Cf3eeP1X&_nc_ohc=7r-XOOcreMkAX--MjNs&_nc_ht=z-p3-scontent.fcmn1-1.fna&edm=AKK4YLsEAAAA&oh=00_AfA6It7o3fw-mYBZDlPLgkfTO1egI088zxB6g0ntCG30Ow&oe=64C7E781', 'width': 500}}, 'title': 'Claire vision', 'type': 'share', 'url': 'tel:+212539947770'}]",5,[],0,0,0,193
106674575654562_216221098040983,"🌅🕶️ Découvrez la nouvelle collection de lunettes de soleil TOM FORD chez CLAIRE VISION Optique ! Nos lunettes de soleil sont conçues pour offrir une protection optimale tout en étant élégantes et intemporelles. Nous avons une large sélection de modèles pour répondre à tous les styles et à toutes les préférences.

Venez nous rendre visite chez CLAIRE VISION Optique pour découvrir notre collection de lunettes de soleil TOM FORD et trouver la paire parfaite pour vous ! 🕶️☀️

#newcollection #chaquejourcompte #optique #lunettesdesoleil #TOMFORD

🕶️🌞 #CLAIREVISION
📍 6 Av. Prince Héritier. Tanger
☎️ 05 39 94 77 70",2023-06-25T15:45:20+0000,"[{'description': '🌅🕶️ Découvrez la nouvelle collection de lunettes de soleil TOM FORD chez CLAIRE VISION Optique ! Nos lunettes de soleil sont conçues pour offrir une protection optimale tout en étant élégantes et intemporelles. Nous avons une large sélection de modèles pour répondre à tous les styles et à toutes les préférences.\n\nVenez nous rendre visite chez CLAIRE VISION Optique pour découvrir notre collection de lunettes de soleil TOM FORD et trouver la paire parfaite pour vous ! 🕶️☀️\n\n#newcollection #chaquejourcompte #optique #lunettesdesoleil #TOMFORD\n\n🕶️🌞 #CLAIREVISION\n📍 6 Av. Prince Héritier. Tanger\n☎️ 05 39 94 77 70', 'media': {'image': {'height': 720, 'src': 'https://z-p3-scontent.fcmn1-3.fna.fbcdn.net/v/t39.30808-6/356154341_216221021374324_8205765565449829134_n.jpg?stp=dst-jpg_p720x720&_nc_cat=101&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeHExUq5HaB2z7TT2Z7Ic8k2BMCHyYwLYUoEwIfJjAthSqNICPBuwq6ydkAovzbtdaG1lpkJfio07ekvWMh7-q0A&_nc_ohc=0DwrH52dtgMAX8Z8gPG&_nc_zt=23&_nc_ht=z-p3-scontent.fcmn1-3.fna&edm=AKK4YLsEAAAA&oh=00_AfDodrBxoY_zq7D9ZxqHe9O5a3GaZALygfEfaTPXyrP8FQ&oe=64C804BE', 'width': 720}}, 'target': {'id': '216221028040990', 'url': 'https://www.facebook.com/photo.php?fbid=216221028040990&set=a.117569654572795&type=3'}, 'type': 'photo', 'url': 'https://www.facebook.com/photo.php?fbid=216221028040990&set=a.117569654572795&type=3'}]",2,[],0,0,0,193
106674575654562_212411875088572,"🚨 Attention ! Le syndrome de vision informatique touche plus de 70 millions de travailleurs dans le monde qui passent des heures devant leur ordinateurs 💻, sans compter les millions d'enfants et d'adolescents qui passent des heures à jouer sur leur tablette, pc ou smartphones.

L'utilisation prolongée de l’ordinateur peut entraîner des problèmes de santé tels que des douleurs dans le bas du dos et la partie inférieure de la tête, ainsi que des problèmes psychosociaux. 

⚠️ MAIS Le problème le plus courant concerne les YEUX 👀 :  Vision double et floue 😳, sécheresse oculaire.  👁️

Prenez soin de vous et pensez à faire des pauses régulières pour reposer vos yeux et votre corps. 

#eyewear #santé #informatique #télétravail #ordinateur #protegezvosyeux",2023-06-20T20:00:06+0000,"[{'description': ""🚨 Attention ! Le syndrome de vision informatique touche plus de 70 millions de travailleurs dans le monde qui passent des heures devant leur ordinateurs 💻, sans compter les millions d'enfants et d'adolescents qui passent des heures à jouer sur leur tablette, pc ou smartphones.\n\nL'utilisation prolongée de l’ordinateur peut entraîner des problèmes de santé tels que des douleurs dans le bas du dos et la partie inférieure de la tête, ainsi que des problèmes psychosociaux. \n\n⚠️ MAIS Le problème le plus courant concerne les YEUX 👀 :  Vision double et floue 😳, sécheresse oculaire.  👁️\n\nPrenez soin de vous et pensez à faire des pauses régulières pour reposer vos yeux et votre corps. \n\n#eyewear #santé #informatique #télétravail #ordinateur #protegezvosyeux"", 'media': {'image': {'height': 720, 'src': 'https://z-p3-scontent.fcmn1-3.fna.fbcdn.net/v/t39.30808-6/355463312_212256118437481_3496908352153652945_n.jpg?stp=dst-jpg_p720x720&_nc_cat=101&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeEZT4sFTWtt-6x3KMOGfwI3-UFkA3Owow35QWQDc7CjDeP_GCm4Mak4QKjTIQV2WaCJ69mnIRdaJJHMZrUOaA5R&_nc_ohc=bL7W9NewSDUAX9NxwaG&_nc_zt=23&_nc_ht=z-p3-scontent.fcmn1-3.fna&edm=AKK4YLsEAAAA&oh=00_AfCzAWChU32sQYlPfC2pJ1bNIV6MAdOlEM9qK_VX8k9fQA&oe=64C91B31', 'width': 720}}, 'target': {'id': '212411851755241', 'url': 'https://www.facebook.com/photo.php?fbid=212411851755241&set=a.117569654572795&type=3'}, 'type': 'photo', 'url': 'https://www.facebook.com/photo.php?fbid=212411851755241&set=a.117569654572795&type=3'}]",1,[],0,0,0,193
