Post ID,Message,Created Time,Attachments,Likes Count,Reactions,Shares Count,Comments Count,Views Count,Number of Fans
106674575654562_244249975238095,"👀🌊 Si vous portez des lentilles de contact, évitez de prendre une douche, de nager dans la piscine ou de vous baigner dans la mer. Pour protéger vos yeux, utilisez des lunettes de natation bien ajustées qui les isolent des agents pathogènes tels que l'Acanthamoeba. 🕶️

👓 Les conseils de votre opticien #CLAIREVISION. N'hésitez pas à nous suivre pour plus de conseils de santé oculaire! 🌞

#conseilsdesante #santédesyeux #lentillesdecontact #lunettesdenatation #opticien #optique #Tanger #Maroc

🕶️🌞 #CLAIREVISION
📍 6 Av. Prince Héritier. Tanger
☎️ 05 39 94 77 70",2023-08-04T16:16:19+0000,"[{'description': ""👀🌊 Si vous portez des lentilles de contact, évitez de prendre une douche, de nager dans la piscine ou de vous baigner dans la mer. Pour protéger vos yeux, utilisez des lunettes de natation bien ajustées qui les isolent des agents pathogènes tels que l'Acanthamoeba. 🕶️\n\n👓 Les conseils de votre opticien #CLAIREVISION. N'hésitez pas à nous suivre pour plus de conseils de santé oculaire! 🌞\n\n#conseilsdesante #santédesyeux #lentillesdecontact #lunettesdenatation #opticien #optique #Tanger #Maroc\n\n🕶️🌞 #CLAIREVISION\n📍 6 Av. Prince Héritier. Tanger\n☎️ 05 39 94 77 70"", 'media': {'image': {'height': 720, 'src': 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/365559209_244249805238112_3013902938416053619_n.jpg?stp=dst-jpg_p720x720&_nc_cat=100&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeG5fylMiwNaNiE5I-yH9MMpkGTC2T96qlCQZMLZP3qqUOtD2lTQeFw8BL3C0AR0fxWskzLMAb_GzqQencVN3XRv&_nc_ohc=2XDuFhndX1wAX__eZz5&_nc_ht=scontent-ord5-1.xx&edm=AKK4YLsEAAAA&oh=00_AfBVPlniR54DcU5ch87zI5q2hta3dU2mAufZt-US5rWTUQ&oe=64D54201', 'width': 720}}, 'target': {'id': '244249808571445', 'url': 'https://www.facebook.com/photo.php?fbid=244249808571445&set=a.117569654572795&type=3'}, 'type': 'photo', 'url': 'https://www.facebook.com/photo.php?fbid=244249808571445&set=a.117569654572795&type=3'}]",1,[],0,0,0,219
106674575654562_242511548745271,"🌟 Claire Vision vous présente la collection McQ Eyewear ! Ces montures luxueuses sont conçues pour offrir une approche amicale de l'eyewear de qualité. 💎✨ Leur artisanat finement travaillé vous assure une paire de lunettes qui convient à toutes les occasions et à tous les styles. Ces montures sont destinées aux collectionneurs et aux afficionados de l'eyewear haut de gamme. 👓💼

Venez découvrir notre sélection chez Claire Vision à Tanger et trouvez la paire de lunettes parfaite pour vous ! 💁‍♀️🛍️ #CLAIREVISION #McQEyewear #eyewear #luxury #artisanat #fashion

🕶️🌞 #CLAIREVISION
📍 6 Av. Prince Héritier. Tanger
☎️ 05 39 94 77 70",2023-08-01T19:47:05+0000,"[{'description': ""🌟 Claire Vision vous présente la collection McQ Eyewear ! Ces montures luxueuses sont conçues pour offrir une approche amicale de l'eyewear de qualité. 💎✨ Leur artisanat finement travaillé vous assure une paire de lunettes qui convient à toutes les occasions et à tous les styles. Ces montures sont destinées aux collectionneurs et aux afficionados de l'eyewear haut de gamme. 👓💼\n\nVenez découvrir notre sélection chez Claire Vision à Tanger et trouvez la paire de lunettes parfaite pour vous ! 💁\u200d♀️🛍️ #CLAIREVISION #McQEyewear #eyewear #luxury #artisanat #fashion\n\n🕶️🌞 #CLAIREVISION\n📍 6 Av. Prince Héritier. Tanger\n☎️ 05 39 94 77 70"", 'media': {'image': {'height': 720, 'src': 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/363383360_242511452078614_6256546413743565080_n.jpg?stp=dst-jpg_p720x720&_nc_cat=109&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeEf6-5GRgHZpQSYiDSGHk96m_Mds1zlN42b8x2zXOU3jdUq527TlprGh_o5bpB7uJZ1SX6Ig3OwJGDr2OlLLXJT&_nc_ohc=kP77Sx8cvhgAX9MYshW&_nc_ht=scontent-ord5-1.xx&edm=AKK4YLsEAAAA&oh=00_AfCrI30HDGSMbOXzP6St2piOJfVREG9eaQXJtS8aLBYyWA&oe=64D590E6', 'width': 720}}, 'target': {'id': '242511455411947', 'url': 'https://www.facebook.com/photo.php?fbid=242511455411947&set=a.117569654572795&type=3'}, 'type': 'photo', 'url': 'https://www.facebook.com/photo.php?fbid=242511455411947&set=a.117569654572795&type=3'}]",2,[],0,0,0,219
106674575654562_239268672402892,"🕶️☀️ Protégez vos yeux du soleil avec style ! Achetez vos lunettes de soleil Stella McCartney SC0041S avec des verres de qualité pour une protection optimale contre les rayons UV. Visitez notre optique à Tanger pour découvrir notre sélection de lunettes de soleil tendance et de qualité supérieure. #CLAIREVISION #StellaMcCartney #lunettesdesoleil #protectionsolaire #eyewear #tendances #fashion 😎👌 #tanger #maroc

🕶️🌞 #CLAIREVISION
📍 6 Av. Prince Héritier. Tanger
☎️ 05 39 94 77 70",2023-07-29T09:45:42+0000,"[{'description': '🕶️☀️ Protégez vos yeux du soleil avec style ! Achetez vos lunettes de soleil Stella McCartney SC0041S avec des verres de qualité pour une protection optimale contre les rayons UV. Visitez notre optique à Tanger pour découvrir notre sélection de lunettes de soleil tendance et de qualité supérieure. #CLAIREVISION #StellaMcCartney #lunettesdesoleil #protectionsolaire #eyewear #tendances #fashion 😎👌 #tanger #maroc\n\n🕶️🌞 #CLAIREVISION\n📍 6 Av. Prince Héritier. Tanger\n☎️ 05 39 94 77 70', 'media': {'image': {'height': 720, 'src': 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/363972850_239268369069589_5458010529652877154_n.jpg?stp=dst-jpg_p720x720&_nc_cat=108&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeEh8YfvwtcqJKrQOK5dobqrFQmvPquOD7gVCa8-q44PuNRFwVeNCS8-ur1A85IPeE1GL2FmeEsNYpBcedLaLDOS&_nc_ohc=g24S2Z2DW0cAX_YVVZ3&_nc_oc=AQn9e3NoMLIaeBcoVV1hoZg9YSBp3NKCCIuPOW6xw4dbATLNMSyWQqHFmyiMxVRbR6E&_nc_ht=scontent-ord5-1.xx&edm=AKK4YLsEAAAA&oh=00_AfDeD5Ov_1_Y1ubDlyJUOJ1YTtKchwGizzlHlf-7sRzOvg&oe=64D4E90E', 'width': 720}}, 'target': {'id': '239268372402922', 'url': 'https://www.facebook.com/photo.php?fbid=239268372402922&set=a.117569654572795&type=3'}, 'type': 'photo', 'url': 'https://www.facebook.com/photo.php?fbid=239268372402922&set=a.117569654572795&type=3'}]",3,[],0,0,0,219
106674575654562_236827382647021,"🕶️🌞 اكتشف مجموعتنا الجديدة من توم فورد  في كلير فيجن! نحن نقدم لك مجموعة واسعة من النظارات الشمسية عالية الجودة بأسعار لا تقبل المنافسة. ابحث عن علامتك التجارية المفضلة بين مجموعتنا واحصل على نصائح شخصية لمساعدتك في العثور على النظارات الشمسية المثالية لأسلوبك واحتياجاتك.

توفر عدساتنا المقواة حمايةً فائقة وتضيف لمسة جمالية إلى مظهرك. تحتوي مجموعتنا على العديد من التصاميم الفريدة والأنيقة التي تناسب أي أسلوب وتفضيلات. احجز موعدًا اليوم في كلير فيجن للعثور على النظارات الشمسية المثالية لك!

#TomFord #lunettesdesoleil #italiandesign #glamourhollywoodien #bestsellers #boutiqueenligne #eyewear #tendances #fashion

🕶️🌞 كلير فيجن! اكتشف مجموعتنا الجديدة  توم فورد، وإسكادا، وسواروفسكي، وغيرها الكثير. نحن نقدم لك نظارات شمسية ونظارات بصرية من الدرجة الأولى ، بأسعار تنافسية. تفضل بزيارتنا اليوم في طنجة لمعرفة المزيد وتجربة النظارات الجديدة الخاصة بنا. نحن في انتظارك!

#CLAIREVISION
📍 6 شارع ولي العهد. طنجة
☎️ 05 39 94 77 70",2023-07-25T15:45:08+0000,"[{'description': '🕶️🌞 اكتشف مجموعتنا الجديدة من توم فورد  في كلير فيجن! نحن نقدم لك مجموعة واسعة من النظارات الشمسية عالية الجودة بأسعار لا تقبل المنافسة. ابحث عن علامتك التجارية المفضلة بين مجموعتنا واحصل على نصائح شخصية لمساعدتك في العثور على النظارات الشمسية المثالية لأسلوبك واحتياجاتك.\n\nتوفر عدساتنا المقواة حمايةً فائقة وتضيف لمسة جمالية إلى مظهرك. تحتوي مجموعتنا على العديد من التصاميم الفريدة والأنيقة التي تناسب أي أسلوب وتفضيلات. احجز موعدًا اليوم في كلير فيجن للعثور على النظارات الشمسية المثالية لك!\n\n#TomFord #lunettesdesoleil #italiandesign #glamourhollywoodien #bestsellers #boutiqueenligne #eyewear #tendances #fashion\n\n🕶️🌞 كلير فيجن! اكتشف مجموعتنا الجديدة  توم فورد، وإسكادا، وسواروفسكي، وغيرها الكثير. نحن نقدم لك نظارات شمسية ونظارات بصرية من الدرجة الأولى ، بأسعار تنافسية. تفضل بزيارتنا اليوم في طنجة لمعرفة المزيد وتجربة النظارات الجديدة الخاصة بنا. نحن في انتظارك!\n\n#CLAIREVISION\n📍 6 شارع ولي العهد. طنجة\n☎️ 05 39 94 77 70', 'media': {'image': {'height': 720, 'src': 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/363414624_236827172647042_8563384987970423927_n.jpg?stp=dst-jpg_p720x720&_nc_cat=106&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeGqJK-VI75n8wDH_XnmKidNWivzmRMTGsxaK_OZExMazLISv5u4Zh6Foyokg6fnUvlyKHh12WJeDWjFRg0qaot8&_nc_ohc=OaTkh7DIIuQAX98LVaF&_nc_ht=scontent-ord5-1.xx&edm=AKK4YLsEAAAA&oh=00_AfCC7uhUWy4QQS_jP_N7nQOyHTeSZ2s7V4x1d5RSAR0nFg&oe=64D583A9', 'width': 720}}, 'target': {'id': '236827179313708', 'url': 'https://www.facebook.com/photo.php?fbid=236827179313708&set=a.117569654572795&type=3'}, 'type': 'photo', 'url': 'https://www.facebook.com/photo.php?fbid=236827179313708&set=a.117569654572795&type=3'}]",70,[],1,6,0,219
106674575654562_233500352979724,"☀️🕶️ *MEGA PROMO* sur les lunettes de soleil Dsquared2 chez Claire Vision Optique !

Pour célébrer l'été, nous avons une offre exceptionnelle sur notre collection de lunettes de soleil Dsquared2. Profitez des réductions exceptionnelles sur une sélection de modèles tendance et de qualité supérieure.

Nos lunettes de soleil Dsquared2 sont conçues pour offrir une protection optimale tout en étant élégantes et intemporelles. Avec des designs sophistiqués et des finitions soignées, chaque paire est un véritable bijou.

Venez nous rendre visite chez Claire Vision Optique à Tanger pour découvrir notre sélection de lunettes de soleil Dsquared2 en promotion et trouver la paire parfaite pour vous ! ☀️🕶️

#CLAIREVISION #Tanger #Maroc #lunettesdesoleil #eyewear #Dsquared2 #protectionsolaire #tendances #fashion #été2021 #megapromo

🕶️🌞 #CLAIREVISION
📍 6 Av. Prince Héritier. Tanger
☎️ 05 39 94 77 70",2023-07-21T12:18:37+0000,"[{'description': ""☀️🕶️ *MEGA PROMO* sur les lunettes de soleil Dsquared2 chez Claire Vision Optique !\n\nPour célébrer l'été, nous avons une offre exceptionnelle sur notre collection de lunettes de soleil Dsquared2. Profitez des réductions exceptionnelles sur une sélection de modèles tendance et de qualité supérieure.\n\nNos lunettes de soleil Dsquared2 sont conçues pour offrir une protection optimale tout en étant élégantes et intemporelles. Avec des designs sophistiqués et des finitions soignées, chaque paire est un véritable bijou.\n\nVenez nous rendre visite chez Claire Vision Optique à Tanger pour découvrir notre sélection de lunettes de soleil Dsquared2 en promotion et trouver la paire parfaite pour vous ! ☀️🕶️\n\n#CLAIREVISION #Tanger #Maroc #lunettesdesoleil #eyewear #Dsquared2 #protectionsolaire #tendances #fashion #été2021 #megapromo\n\n🕶️🌞 #CLAIREVISION\n📍 6 Av. Prince Héritier. Tanger\n☎️ 05 39 94 77 70"", 'media': {'image': {'height': 720, 'src': 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/362239470_233500112979748_6004129502282854625_n.jpg?stp=dst-jpg_p720x720&_nc_cat=106&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeHKNz6sCwJV4ZmEf6fwonZuVGvq_t6nfpZUa-r-3qd-ltjyXF_-7Dnq4Iu2LdTPN19USTSz5k1qk6LMlu1d6tWJ&_nc_ohc=PrUw4jrgBkUAX8dihAx&_nc_ht=scontent-ord5-1.xx&edm=AKK4YLsEAAAA&oh=00_AfB5zVSI8EWa8hSQS0EIr_2PMkfjJW6VWf_vdHGzbRdJPw&oe=64D6BCAA', 'width': 720}}, 'target': {'id': '233500116313081', 'url': 'https://www.facebook.com/photo.php?fbid=233500116313081&set=a.117569654572795&type=3'}, 'type': 'photo', 'url': 'https://www.facebook.com/photo.php?fbid=233500116313081&set=a.117569654572795&type=3'}]",16,[],0,0,0,219
106674575654562_231526213177138,"🕶️🎉 *Super Promo sur les Lunettes de Soleil chez Claire Vision !* 🎉🕶️

Venez découvrir notre sélection de lunettes de soleil de qualité supérieure à des prix imbattables. Nous proposons une large sélection de marques mondiales, ainsi que des conseils personnalisés pour vous aider à trouver la paire de lunettes de soleil parfaite pour votre style et vos besoins.

Profitez de nos offres spéciales et promotions pour vous procurer la paire de lunettes de soleil de vos rêves. Nos verres polarisés vous offrent une vision nette et un meilleur contraste, tout en évitant les reflets et l'éblouissement causés par le soleil. 🌅🕶️

Venez nous rendre visite chez Claire Vision Optique à Tanger ou contactez-nous pour plus d'informations. Nous sommes impatients de vous aider à trouver la paire de lunettes de soleil parfaite pour vous ! ☀️🕶️

#CLAIREVISION
📍 6 Av. Prince Héritier. Tanger
☎️ 05 39 94 77 70

#lunettesdesoleil #eyewear #offresspeciales #promotions #verrespolarisés #protectionsolaire #tendances #fashion",2023-07-18T12:49:23+0000,"[{'description': ""🕶️🎉 *Super Promo sur les Lunettes de Soleil chez Claire Vision !* 🎉🕶️\n\nVenez découvrir notre sélection de lunettes de soleil de qualité supérieure à des prix imbattables. Nous proposons une large sélection de marques mondiales, ainsi que des conseils personnalisés pour vous aider à trouver la paire de lunettes de soleil parfaite pour votre style et vos besoins.\n\nProfitez de nos offres spéciales et promotions pour vous procurer la paire de lunettes de soleil de vos rêves. Nos verres polarisés vous offrent une vision nette et un meilleur contraste, tout en évitant les reflets et l'éblouissement causés par le soleil. 🌅🕶️\n\nVenez nous rendre visite chez Claire Vision Optique à Tanger ou contactez-nous pour plus d'informations. Nous sommes impatients de vous aider à trouver la paire de lunettes de soleil parfaite pour vous ! ☀️🕶️\n\n#CLAIREVISION\n📍 6 Av. Prince Héritier. Tanger\n☎️ 05 39 94 77 70\n\n#lunettesdesoleil #eyewear #offresspeciales #promotions #verrespolarisés #protectionsolaire #tendances #fashion"", 'media': {'image': {'height': 720, 'src': 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/361663383_231524959843930_3133547947043192051_n.jpg?stp=dst-jpg_p720x720&_nc_cat=103&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeEThZkEUGjaQD4LB1iajYTAX65GSkP3PcNfrkZKQ_c9w47tSan6uMqUcMEzt7wS6ow4XtQDi4vs2oyWVi5l9icu&_nc_ohc=dwPT8rWRAkMAX8oNVh-&_nc_ht=scontent-ord5-1.xx&edm=AKK4YLsEAAAA&oh=00_AfBHiBtMnDaKqGuaH01CssY2dVk2igQVqKQktiicODKxtg&oe=64D6A019', 'width': 720}}, 'target': {'id': '231524973177262', 'url': 'https://www.facebook.com/photo.php?fbid=231524973177262&set=a.117569654572795&type=3'}, 'type': 'photo', 'url': 'https://www.facebook.com/photo.php?fbid=231524973177262&set=a.117569654572795&type=3'}]",0,[],0,0,0,219
106674575654562_228985633431196,"Découvrez les dernières offres de Claire Vision sur les lunettes de soleil ! ☀️🕶️

Venez découvrir notre sélection de lunettes de soleil de qualité supérieure, avec des prix imbattables. Trouvez votre marque préférée parmi notre large sélection. Nos verres polarisés vous offrent une vision nette et un meilleur contraste, tout en évitant les reflets et l'éblouissement causés par le soleil.

Profitez de nos offres spéciales et promotions pour vous procurer la paire de lunettes de soleil parfaite pour votre style et vos besoins. Nous proposons également des lunettes de vue et des lunettes de natation correctrices pour répondre à tous vos besoins en matière de vision.

Venez nous rendre visite chez Claire Vision Optique à Tanger ou contactez-nous pour plus d'informations. Nous sommes impatients de vous aider à trouver la paire de lunettes de soleil parfaite pour vous ! ☀️🕶️

#CLAIREVISION
📍 6 Av. Prince Héritier. Tanger
☎️ 05 39 94 77 70

#CLAIREVISION #Tanger #Maroc #lunettesdesoleil #eyewear #verrespolarisés #protectionsolaire #conseil #fashion #tendances",2023-07-14T14:07:09+0000,"[{'description': ""Découvrez les dernières offres de Claire Vision sur les lunettes de soleil ! ☀️🕶️\n\nVenez découvrir notre sélection de lunettes de soleil de qualité supérieure, avec des prix imbattables. Trouvez votre marque préférée parmi notre large sélection. Nos verres polarisés vous offrent une vision nette et un meilleur contraste, tout en évitant les reflets et l'éblouissement causés par le soleil.\n\nProfitez de nos offres spéciales et promotions pour vous procurer la paire de lunettes de soleil parfaite pour votre style et vos besoins. Nous proposons également des lunettes de vue et des lunettes de natation correctrices pour répondre à tous vos besoins en matière de vision.\n\nVenez nous rendre visite chez Claire Vision Optique à Tanger ou contactez-nous pour plus d'informations. Nous sommes impatients de vous aider à trouver la paire de lunettes de soleil parfaite pour vous ! ☀️🕶️\n\n#CLAIREVISION\n📍 6 Av. Prince Héritier. Tanger\n☎️ 05 39 94 77 70\n\n#CLAIREVISION #Tanger #Maroc #lunettesdesoleil #eyewear #verrespolarisés #protectionsolaire #conseil #fashion #tendances"", 'media': {'image': {'height': 720, 'src': 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/360151094_228985370097889_6903508844852970557_n.jpg?stp=dst-jpg_p720x720&_nc_cat=107&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeHkEd6xMDTCwDnLQY6BOA57GxY-QYK5tY4bFj5Bgrm1jsvP5fm78tC01ol43CEL75ao6vQjIkZWE-dWliDWvK0-&_nc_ohc=sM3bObLR9WYAX9ntkEZ&_nc_ht=scontent-ord5-1.xx&edm=AKK4YLsEAAAA&oh=00_AfBMJB3cEfaROWHHHU5rmif32C5IPd0YpD3dQaUfsyplDA&oe=64D691C1', 'width': 720}}, 'target': {'id': '228985373431222', 'url': 'https://www.facebook.com/photo.php?fbid=228985373431222&set=a.117569654572795&type=3'}, 'type': 'photo', 'url': 'https://www.facebook.com/photo.php?fbid=228985373431222&set=a.117569654572795&type=3'}]",0,[],0,0,0,219
106674575654562_227156203614139,"Vous cherchez des lunettes de natation pour vous aider à voir clairement sous l'eau? Les Lunettes de Natation avec Correction Optique Claire Vision sont la solution parfaite pour vous!

Ces lunettes de natation sont conçues avec des verres de correction optique pour vous offrir une vision claire et nette pendant que vous nagez. Elles sont disponibles dans une variété de forces de correction pour s'adapter à vos besoins individuels.

 Les Lunettes de Natation avec Correction Optique Claire Vision sont également dotées d'un design confortable et ajustable pour un ajustement parfait. Elles sont fabriquées avec des matériaux de haute qualité pour une durabilité maximale.

Ne laissez pas votre vision floue vous empêcher de profiter de la natation. Essayez les Lunettes de Natation avec Correction Optique Claire Vision dès aujourd'hui et découvrez la différence!

Nagez avec confiance et style grâce à nos lunettes de natation de qualité supérieure. Venez nous rendre visite chez Claire Vision pour découvrir notre sélection et trouver la paire parfaite pour vous !

🏊‍♀️🏊‍♂️ #CLAIREVISION
📍 6 Av. Prince Héritier. Tanger
☎️ 05 39 94 77 70

#lunettesdenatation #natation #eyewear #protectionsolaire #swimming #tendances #fashion",2023-07-11T14:44:37+0000,"[{'description': 'Opticien', 'media': {'image': {'height': 720, 'src': 'https://scontent-ord5-1.xx.fbcdn.net/v/t45.1600-4/356554614_23857248742920410_9092798118756443935_n.jpg?stp=dst-jpg_p720x720_spS444&_nc_cat=101&ccb=1-7&_nc_sid=67cdda&_nc_eui2=AeGauLSk-NKBZH_ecxXpuaRsh3hzOu2XNlWHeHM67Zc2Ve6QYHAhTuQTUp9Z9VzUJLfKeVVHY9pYfkIwKZJlbV1o&_nc_ohc=3A5bH56VC9MAX_bldJR&_nc_ht=scontent-ord5-1.xx&edm=AKK4YLsEAAAA&oh=00_AfAr76L6MUnIkOLjN1NcC6ErC8eljbsLgkfYdPC7aohjPA&oe=64D5AA41', 'width': 720}}, 'title': 'Claire vision', 'type': 'share', 'url': 'tel:+212539947770'}]",30,[],0,0,0,219
106674575654562_222261187436974,"🕶️💎 Découvrez les magnifiques lunettes Swarovski chez CLAIRE VISION Optique ! Les lunettes de soleil Swarovski sont conçues pour offrir une protection optimale tout en étant élégantes et intemporelles. Avec des designs sophistiqués et des cristaux Swarovski étincelants, chaque paire est une véritable œuvre d'art.

Venez nous rendre visite chez CLAIRE VISION Optique pour découvrir notre collection de lunettes Swarovski et trouver la paire parfaite pour vous ! Nous avons une large sélection de modèles pour répondre à tous les styles et à toutes les préférences.

#CLAIREVISION #Tanger #Maroc #lunettesdesoleil #eyewear #Swarovski #protectionsolaire #fashion #tendances

🕶️🌞 #CLAIREVISION
📍 6 Av. Prince Héritier. Tanger
☎️ 05 39 94 77 70",2023-07-04T11:50:18+0000,"[{'description': ""🕶️💎 Découvrez les magnifiques lunettes Swarovski chez CLAIRE VISION Optique ! Les lunettes de soleil Swarovski sont conçues pour offrir une protection optimale tout en étant élégantes et intemporelles. Avec des designs sophistiqués et des cristaux Swarovski étincelants, chaque paire est une véritable œuvre d'art.\n\nVenez nous rendre visite chez CLAIRE VISION Optique pour découvrir notre collection de lunettes Swarovski et trouver la paire parfaite pour vous ! Nous avons une large sélection de modèles pour répondre à tous les styles et à toutes les préférences.\n\n#CLAIREVISION #Tanger #Maroc #lunettesdesoleil #eyewear #Swarovski #protectionsolaire #fashion #tendances\n\n🕶️🌞 #CLAIREVISION\n📍 6 Av. Prince Héritier. Tanger\n☎️ 05 39 94 77 70"", 'media': {'image': {'height': 720, 'src': 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/358047900_222260887437004_4434698819882084319_n.jpg?stp=dst-jpg_p720x720&_nc_cat=103&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeGXq_Y1Squ5mPKQaQBw_5XIQSal8LUPzOJBJqXwtQ_M4vKbk0vgXQe75nEj-jhCZ8zijh7afJpXXF6_M4fWF_Cl&_nc_ohc=IKuFSFveKN4AX8yJ6UR&_nc_ht=scontent-ord5-1.xx&edm=AKK4YLsEAAAA&oh=00_AfA3nasqqRCxmrLvuvVLi-XzcOFwq8QWYPN26sORUkjGuQ&oe=64D69DF3', 'width': 720}}, 'target': {'id': '222260894103670', 'url': 'https://www.facebook.com/photo.php?fbid=222260894103670&set=a.117569654572795&type=3'}, 'type': 'photo', 'url': 'https://www.facebook.com/photo.php?fbid=222260894103670&set=a.117569654572795&type=3'}]",3,[],0,0,0,219
106674575654562_219387087724384,"👀 *Santé des yeux et alimentation*

Saviez-vous que certains aliments peuvent aider à maintenir la santé de vos yeux ? Les vitamines A, C et E sont particulièrement importantes pour la santé de vos yeux.

🥕 La vitamine A se trouve dans les carottes, les patates douces et les épinards, et elle peut contribuer à prévenir la dégénérescence maculaire.

🍊 La vitamine C est présente dans les agrumes, les fraises et les kiwis, et elle peut aider à protéger vos yeux contre les dommages causés par les radicaux libres.

🌰 La vitamine E se trouve dans les noix, les graines et les légumes verts à feuilles, et elle peut aider à prévenir la cataracte.

N'oubliez pas de manger une variété d'aliments sains pour les yeux pour maintenir une bonne santé oculaire ! 👌

#santédesyeux #alimentation #vitamines #vitamineA #vitamineC #vitamineE",2023-06-30T13:30:59+0000,"[{'media': {'image': {'height': 656, 'src': 'https://scontent-ord5-1.xx.fbcdn.net/v/t15.5256-10/355977658_941310266952675_2905283809032321631_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=ad6a45&_nc_eui2=AeGLkbnWT9A9tT71N0F1H37dcoBvKh8EzMFygG8qHwTMwQTZgd9hZJVuTPJkT2QhZQ829-lQz5ugAjQTm36OikTZ&_nc_ohc=NRAJkf77UogAX_IMuGx&_nc_oc=AQmjA7oMGTZpDLnqOI0-k5mfoPkb4M2ivu8WZ0wKzZk57nbXjq1m8WXIJI5cp-l6UD4&_nc_ht=scontent-ord5-1.xx&edm=AKK4YLsEAAAA&oh=00_AfDoiINtC0PHt4LldnCw9865-ZI4vMfBkcNblXesgndcaA&oe=64D613C5', 'width': 368}, 'source': 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.25447-2/357078418_821039502982628_7197986725132402901_n.mp4?_nc_cat=101&vs=302d7a78ea361d9c&_nc_vs=HBksFQAYJEdKS1ZTQlhrLWVzbnVfb0NBTldBZmpuS1l1UmpibWRqQUFBRhUAAsgBABUAGCRHTFJyU1JVaVNxaVZua2NDQURLcnR2eTlXVWxCYnJGcUFBQUYVAgLIAQBLB4gScHJvZ3Jlc3NpdmVfcmVjaXBlATENc3Vic2FtcGxlX2ZwcwAQdm1hZl9lbmFibGVfbnN1YgAgbWVhc3VyZV9vcmlnaW5hbF9yZXNvbHV0aW9uX3NzaW0AKGNvbXB1dGVfc3NpbV9vbmx5X2F0X29yaWdpbmFsX3Jlc29sdXRpb24AHXVzZV9sYW5jem9zX2Zvcl92cW1fdXBzY2FsaW5nABFkaXNhYmxlX3Bvc3RfcHZxcwAVACUAHIwXQAAAAAAAAAAREQAAACb2mOaP4r%2BUBhUCKAJDMxgLdnRzX3ByZXZpZXccF0A7VT987ZFoGClkYXNoX2k0bGl0ZWJhc2ljXzVzZWNnb3BfaHExX2ZyYWdfMl92aWRlbxIAGBh2aWRlb3MudnRzLmNhbGxiYWNrLnByb2Q4ElZJREVPX1ZJRVdfUkVRVUVTVBsKiBVvZW1fdGFyZ2V0X2VuY29kZV90YWcGb2VwX2hkE29lbV9yZXF1ZXN0X3RpbWVfbXMBMAxvZW1fY2ZnX3J1bGUHdW5tdXRlZBNvZW1fcm9pX3JlYWNoX2NvdW50AzIyOBFvZW1faXNfZXhwZXJpbWVudAAMb2VtX3ZpZGVvX2lkDzc2NzMwOTk5NTE3NjU1NhJvZW1fdmlkZW9fYXNzZXRfaWQPOTQxMzA5ODkwMjg2MDQ2FW9lbV92aWRlb19yZXNvdXJjZV9pZBAxNzMzOTI1ODI3MDM2NzMxHG9lbV9zb3VyY2VfdmlkZW9fZW5jb2RpbmdfaWQPMTUxMTUyMDcxMzEzODA1DnZ0c19yZXF1ZXN0X2lkACUCHAAlxAEbB4gBcwQ1MTY5AmNkCjIwMjMtMDYtMzADcmNiAzIwMANhcHAGVmlkw6lvAmN0GUNPTlRBSU5FRF9QT1NUX0FUVEFDSE1FTlQTb3JpZ2luYWxfZHVyYXRpb25fcwYyNy4zMzYCdHMVcHJvZ3Jlc3NpdmVfZW5jb2RpbmdzAA%3D%3D&ccb=1-7&_nc_sid=a06cc9&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9oZCJ9&_nc_eui2=AeFOvyI3wMifnJSVbE9TyWEbGg16TNiLdhAaDXpM2It2EEeLOFWhslrEgYvScPbjjSdtUAWNAxJY-R55HiFWfEBH&_nc_ohc=Aecp3K-NUu0AX9r4T4F&_nc_ht=scontent-ord5-1.xx&edm=AKK4YLsEAAAA&oh=00_AfA02idoA3Shi7vq3l18JSx0a-TPCOCfi2hQs_QVZBvDPQ&oe=64D5A642&_nc_rid=354830949153844'}, 'target': {'id': '767309995176556', 'url': 'https://www.facebook.com/223018424027917/videos/767309995176556'}, 'type': 'video_inline', 'url': 'https://www.facebook.com/223018424027917/videos/767309995176556'}]",1,[],0,0,0,219
